Solution Number =1
Step		Time Taken(ms)		Scope 
903		999		10
904		782		10
905		860		10
906		739		10
907		1216		10
908		727		10
909		1549		10
910		1114		10
911		2320		10
912		2081		10
913		1113		10
914		1501		10
915		1334		9
916		1830		10
917		1564		10
918		2375		10
919		2764		10
920		2167		10
921		1931		10
922		2672		10
923		2102		9
924		1643		9
925		2884		10
926		2493		10
927		2871		10
928		2698		9
929		0		0
930		603		10
931		578		10
932		429		10
933		544		10
934		562		10
935		468		10
936		512		10
937		437		10
938		613		10
939		617		10
940		1047		10
941		998		10
942		691		10
943		800		10
944		605		10
945		1057		10
946		1082		10
947		920		10
948		874		10
949		1717		10
950		927		10
951		1655		10
952		1983		10
953		1175		9
954		1727		10
955		2218		10
956		2308		10
957		1691		9
958		2538		10
959		1177		9
960		0		0
961		482		10
962		503		10
963		769		10
964		751		10
965		610		10
966		1073		10
967		706		10
968		660		10
969		889		10
970		890		10
971		770		10
972		975		10
973		1442		10
974		1664		10
975		846		10
976		1263		10
977		1629		10
978		1381		10
979		1134		10
980		0		0
981		632		10
982		454		10
983		621		10
984		783		10
985		621		10
986		748		10
987		900		10
988		569		10
989		892		10
990		667		10
991		739		10
992		780		10
993		1571		10
994		1023		10
995		1024		10
996		676		10
997		813		10
998		899		10
999		963		10
1000		2564		10
1001		1870		10
1002		1744		9
1003		1461		10
1004		1416		10
1005		2013		10
1006		1975		10
1007		2173		9
1008		2016		10
1009		1931		9
1010		1730		9
1011		2086		10
1012		2857		10
1013		2412		10
1014		0		0
1015		491		10
1016		451		10
1017		592		10
1018		624		10
1019		568		10
1020		1227		10
1021		738		10
1022		922		10
1023		657		10
1024		877		10
1025		860		10
1026		739		10
1027		1269		10
1028		1395		10
1029		1117		10
1030		860		10
1031		1225		10
1032		1677		10
1033		1058		10
1034		2087		9
1035		2404		10
1036		1613		9
1037		1396		9
1038		2571		10
1039		1985		10
1040		2601		10
1041		0		0
1042		524		10
1043		408		10
1044		434		10
1045		538		10
1046		722		10
1047		915		10
1048		661		10
1049		534		10
1050		963		10
1051		736		10
1052		755		10
1053		753		10
1054		734		10
1055		818		10
1056		795		10
1057		964		10
1058		802		10
1059		871		10
1060		1516		10
1061		1030		10
1062		1062		10
1063		1106		10
1064		974		10
1065		2028		10
1066		1012		10
1067		2167		10
1068		1868		10
1069		2559		10
1070		1809		10
1071		2849		10
1072		2585		10
1073		1897		9
1074		0		0
1075		522		10
1076		414		10
1077		491		10
1078		501		10
1079		488		10
1080		738		10
1081		777		10
1082		701		10
1083		561		10
1084		643		10
1085		903		10
1086		1522		10
1087		1266		10
1088		1122		10
1089		1298		10
1090		1106		10
1091		1367		10
1092		1199		10
1093		1291		10
1094		2338		10
1095		2359		10
1096		2924		9
1097		2162		10
1098		2772		9
1099		2374		10
1100		2815		10
1101		0		0
1102		519		10
1103		502		10
1104		614		10
1105		555		10
1106		453		10
1107		1071		10
1108		436		10
1109		628		10
1110		870		10
1111		821		10
1112		578		10
1113		670		10
1114		1164		10
1115		1044		10
1116		696		10
1117		879		10
1118		1004		10
1119		978		10
1120		1488		10
1121		1861		10
1122		1672		10
1123		1344		10
1124		2634		10
1125		2034		10
1126		1750		10
1127		2377		10
